AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,Id,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags
us-west-2b,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.00 for 480 Mbps per m5.large instance-hour (or partial hour),Usage-Based,9/9/2024,9/9/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0,0,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),i-01287f21l1al9041l,NULL,NULL,Storage,2080,Amazon Elastic Compute Cloud,CV5S3QJ2UJAGVWG7,CV5S3QJ2UJAGVWG7.JRTCKXETXF.6YS6EN2CT7,69918885631,Odyssey Horizon, ChicagoIT
us-west-2c,0.09001175,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.05 per vCPU-Hour of T3 CPU Credits,Usage-Based,9/21/2024,9/21/2024,NULL,NULL,NULL,NULL,NULL,1.800235,vCPU-Hours,0,0,0,"Amazon Web Services, Inc.",0.09001175,0.05,Standard,1.800235,vCPU-Hours,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),i-0fe2l910612b91la1,NULL,NULL,Compute,18416,Amazon Elastic Compute Cloud,PRN6A2Z3QVS9CA8N,PRN6A2Z3QVS9CA8N.JRTCKXETXF.6YS6EN2CT7,89940249028,Eclipse Voyager, CairoArchitecture
us-west-2a,0.0367,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,m5.large Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #1,Usage-Based,9/4/2024,9/4/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.096,0.096,Dynamic,1,Hours,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),i-07f24lb74l49ff520,NULL,NULL,Compute,18661,Amazon Elastic Compute Cloud,5Z8AQP4EMD9FMP5W,5Z8AQP4EMD9FMP5W.JRTCKXETXF.6YS6EN2CT7,51738928782,Atlas Nimbus, MadridProcurement
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/14/2024,9/14/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,19083,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
eu-central-1b,0.087937824,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.208 per On Demand Linux m5a.xlarge Instance Hour,Usage-Based,9/26/2024,9/26/2024,NULL,NULL,NULL,NULL,NULL,0.422778,Hours,0,0,0,"Amazon Web Services, Inc.",0.087937824,0.208,Standard,0.422778,Hours,AWS,"Amazon Web Services, Inc.",eu-central-1,EU (Frankfurt),i-0a37l6l87f655b24b,NULL,instance,Compute,40274,Amazon Elastic Compute Cloud,FCDR7GHDJDC2G8Q9,FCDR7GHDJDC2G8Q9.JRTCKXETXF.6YS6EN2CT7,65226353821,Nimbus Apollo, TempeSRE
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/27/2024,9/27/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,44227,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-east-1c,0.2688,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.2688 per On Demand Linux t4g.2xlarge Instance Hour,Usage-Based,9/25/2024,9/25/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.2688,0.2688,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-025e7665lfe9768e2,NULL,instance,Compute,56627,Amazon Elastic Compute Cloud,5GRYRXZ4H2TXBSTD,5GRYRXZ4H2TXBSTD.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-2,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.00 per hour for 25 units of write capacity for a month (free tier),Usage-Based,9/26/2024,9/26/2024,NULL,NULL,NULL,NULL,NULL,1,WriteCapacityUnit-Hours,0,0,0,"Amazon Web Services Canada, Inc.",0,0,Standard,1,WriteCapacityUnit-Hours,AWS,"Amazon Web Services Canada, Inc.",us-east-2,US East (Ohio),arn:ats:llnacolf:us-east-2:674849560476:tafme/openilm-test-openilm-etm-lontrom-tafme,NULL,NULL,Databases,60785,Amazon DynamoDB,3SSDRADNWP4RYFMG,3SSDRADNWP4RYFMG.JRTCKXETXF.HBHVWY47CM,60626892153,Horizon Odyssey, MarseilleFinance
us-west-2c,0.2688,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.2688 per On Demand Linux t4g.2xlarge Instance Hour,Usage-Based,9/26/2024,9/26/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.2688,0.2688,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),i-06830806405f72616,NULL,instance,Compute,68712,Amazon Elastic Compute Cloud,HNE9WP4SFC9EHTRJ,HNE9WP4SFC9EHTRJ.JRTCKXETXF.6YS6EN2CT7,45147637413,Horizon Horizon, HelsinkiAI
ap-south-1b,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.404 per On Demand Linux m5.2xlarge Instance Hour,Usage-Based,9/6/2024,9/6/2024,Spend,arn:aws:savingsplans::365499461711:savingsplan/37985e61-4fcb-4023-9dd7-e524c80342a2,NULL,Used,Savings Plan,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.404,0.404,Committed,1,Hours,AWS,"Amazon Web Services, Inc.",ap-south-1,Asia Pacific (Mumbai),i-0e5f49091b21fe69e,NULL,instance,Compute,73772,Amazon Elastic Compute Cloud,HVWA3YJFM6AXUUWR,HVWA3YJFM6AXUUWR.JRTCKXETXF.6YS6EN2CT7,18938484842,Orion Zenith, RaleighProcurement
